Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2008","2008","tonnes","684382979","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2009","2009","tonnes","680265683","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2010","2010","tonnes","694035156","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2011","2011","tonnes","719079192","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2012","2012","tonnes","727680662","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2013","2013","tonnes","731770431","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2014","2014","tonnes","730801993","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2015","2015","tonnes","731952333","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2016","2016","tonnes","739525456","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2017","2017","tonnes","751731340","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2018","2018","tonnes","762838840","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"QCL","Cultures et produits animaux","5000","Monde","5510","Production","27","Riz, paddy","2019","2019","tonnes","755473800","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
